Complexity,Loss,Equation
1,0.015338498,"0.0032666621"
4,0.015334145,"exp(x1) * 0.0030733924"
5,0.015328261,"(x1 + 0.24388574) * 0.011364718"
6,0.0153115615,"0.0021063236 / cos(cos(log(x1)))"
11,0.015296281,"sin((0.2376594 / cos(0.0027362558 / (x0 * x0))) * 0.013575242)"
12,0.015278213,"(((x3 - -0.047686733) * sin(x1 / 0.047742426)) - -0.049515363) * 0.036833957"
13,0.015277977,"(((x3 - -0.027460298) * sin(sin(x1 / 0.06464716))) - -0.023452938) * 0.07500515"
14,0.0152761545,"(((x3 - -0.027460298) * sin(sin(sin(x1 / 0.06464716)))) - -0.023452938) * 0.07500515"
20,0.01523544,"sin((0.0024816736 / cos(0.0030806672 / (x0 * x0))) / cos((exp(x0 + cos(x2)) * x0) - x4))"
21,0.015234379,"(0.0024816736 / cos(0.0030806672 / (x0 * x0))) / cos((exp(x0 + cos(x2 + x2)) * x0) - x4)"
26,0.015232222,"((0.1094414 / cos((0.14318216 / (x0 * x0)) * 0.021916041)) / cos((exp(x0 + cos(x2 + x2)) * x0) - x4)) * sin(0.022116402)"
