Complexity,Loss,Equation
1,0.0018041173,"0.003929883"
4,0.0017603886,"0.00478171 / exp(x0)"
5,0.0016796984,"(0.0001523031 / x0) + 0.0030140714"
6,0.0015522169,"(log(x3) * -6.272431e-5) + 0.0033409747"
8,0.0015506657,"((log(x3) * -6.2232466e-5) / x4) + 0.0033597518"
9,0.0015254862,"exp((-11.275099 - log(x3)) / x2) * 0.004053449"
11,0.0015228604,"exp(((log(x3) * -0.8904083) + -10.455393) / x2) * 0.0040633236"
12,0.0015197669,"exp((-11.297701 - (log(x3) / exp(x1))) / x2) * 0.0040694345"
13,0.0015179898,"exp(((log(x3) * (x1 + -0.89144206)) + -9.97089) / x2) * 0.0040259557"
14,0.0015162204,"exp((-11.297701 - (log(x3) / exp(x1 + x1))) / x2) * 0.0040694345"
15,0.0014827574,"exp((((log(x3 / 0.007040214) / x1) * -0.071941026) - 5.661012) / x2) * 0.0040021585"
17,0.0014635415,"exp((((log(x3 / (x0 * x0)) / x1) * -0.08095569) - 8.370036) / x2) * 0.003914791"
23,0.0014608555,"exp((((log(x3 / (x0 * x0)) * -0.077019006) / x1) / x2) - (4.0796766 / (x2 / (x2 + 1.9765983)))) * 0.2322487"
29,0.0014545958,"exp(((log(x3 / (x0 * x0)) * (-0.069092855 / x1)) - log(exp(x1 / (x0 * x0)))) * (((x0 * 1.8634351) + 1.452249) / x2)) * 0.003538251"
